[2026-02-26 09:48:39.516] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:48:39.524] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.043m -> 5.043m (dist=0.000m)
[2026-02-26 09:48:39.532] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.543] [INFO    ] [services.logging_service] [INFO]   Mur V : X=3.13m | L=6.24m | Y=[-1.49..5.84]m
[2026-02-26 09:48:39.550] [INFO    ] [services.logging_service] [INFO]     Mur 7.33m : 1 intervalles, portée 7.33m
[2026-02-26 09:48:39.577] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.841m -> 5.798m (dist=0.043m)
[2026-02-26 09:48:39.583] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.590] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-1.95m | L=6.11m | Y=[-3.62..2.49]m
[2026-02-26 09:48:39.597] [INFO    ] [services.logging_service] [INFO]     Mur 6.11m : 1 intervalles, portée 6.11m
[2026-02-26 09:48:39.605] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:48:39.611] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.616] [INFO    ] [services.logging_service] [INFO]   Mur V : X=7.80m | L=7.29m | Y=[-1.49..5.80]m
[2026-02-26 09:48:39.625] [INFO    ] [services.logging_service] [INFO]     Mur 7.29m : 1 intervalles, portée 7.29m
[2026-02-26 09:48:39.634] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.798m -> 5.798m (dist=0.000m)
[2026-02-26 09:48:39.643] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.650] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-10.36m | L=6.01m | Y=[-3.52..2.49]m
[2026-02-26 09:48:39.659] [INFO    ] [services.logging_service] [INFO]     Mur 6.01m : 1 intervalles, portée 6.01m
[2026-02-26 09:48:39.665] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.675] [INFO    ] [services.logging_service] [INFO]   Mur V : X=0.25m | L=2.55m | Y=[2.49..5.04]m
