[2026-02-20 00:04:18.833] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferr_voil.png (1173 bytes)
[2026-02-20 00:04:18.907] [INFO    ] [ui.ribbon_builder   ]       Ferraillage Escaliers : script ecrit (v1)
[2026-02-20 00:04:19.553] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferr_esc.png (797 bytes)
[2026-02-20 00:04:19.624] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Coffrage Details
[2026-02-20 00:04:20.234] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : coffrage_det.png (994 bytes)
[2026-02-20 00:04:20.244] [INFO    ] [ui.ribbon_builder   ]       Plans Coffrage : script ecrit (v1)
[2026-02-20 00:04:20.849] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : plans_coff.png (1372 bytes)
[2026-02-20 00:04:20.926] [INFO    ] [ui.ribbon_builder   ]       Cotations Auto : script ecrit (v1)
[2026-02-20 00:04:21.527] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : cotations.png (852 bytes)
[2026-02-20 00:04:21.609] [INFO    ] [ui.ribbon_builder   ]       Reperage Auto : script ecrit (v1)
[2026-02-20 00:04:22.243] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : reperage.png (992 bytes)
[2026-02-20 00:04:22.317] [INFO    ] [ui.ribbon_builder   ]       Details Coffrage : script ecrit (v1)
[2026-02-20 00:04:22.893] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : details_coff.png (1318 bytes)
[2026-02-20 00:04:22.968] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 08_Documentation & Export.panel
[2026-02-20 00:04:23.529] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : coordination.png (1713 bytes)
[2026-02-20 00:04:23.616] [INFO    ] [ui.ribbon_builder   ]       Nomenclatures Metres : script ecrit (v1)
[2026-02-20 00:04:24.196] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : nomenclatures.png (1051 bytes)
[2026-02-20 00:04:24.208] [INFO    ] [ui.ribbon_builder   ]       Annotations Cotations Auto : script ecrit (v1)
[2026-02-20 00:04:24.833] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : annotations.png (883 bytes)
[2026-02-20 00:04:24.908] [INFO    ] [ui.ribbon_builder   ]       Mise en Page Cartouche : script ecrit (v1)
[2026-02-20 00:04:25.483] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : cartouche.png (774 bytes)
[2026-02-20 00:04:25.561] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Vues Templates
[2026-02-20 00:04:26.176] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : vues.png (1058 bytes)
[2026-02-20 00:04:26.186] [INFO    ] [ui.ribbon_builder   ]       Creer Plans Etage : script ecrit (v1)
[2026-02-20 00:04:26.771] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : plans_etage.png (787 bytes)
[2026-02-20 00:04:26.848] [INFO    ] [ui.ribbon_builder   ]       Creer Coupes Structure : script ecrit (v1)
[2026-02-20 00:04:27.465] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : coupes.png (1134 bytes)
[2026-02-20 00:04:27.476] [INFO    ] [ui.ribbon_builder   ]       Creer 3D Armatures : script ecrit (v1)
[2026-02-20 00:04:28.135] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : 3d_armatures.png (926 bytes)
[2026-02-20 00:04:28.229] [INFO    ] [ui.ribbon_builder   ]       Autres Vues : script ecrit (v1)
[2026-02-20 00:04:28.831] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : autres_vues.png (1506 bytes)
[2026-02-20 00:04:28.841] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Impression Export
[2026-02-20 00:04:29.425] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : impression.png (980 bytes)
[2026-02-20 00:04:29.502] [INFO    ] [ui.ribbon_builder   ]       Impression PDF DWG : script ecrit (v1)
[2026-02-20 00:04:30.096] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : pdf_dwg.png (764 bytes)
[2026-02-20 00:04:30.111] [INFO    ] [ui.ribbon_builder   ]       Export Autres : script ecrit (v1)
[2026-02-20 00:04:30.697] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : export_autres.png (701 bytes)
[2026-02-20 00:04:30.767] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 09_Outils Avances & Admin.panel
[2026-02-20 00:04:31.373] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : calcul.png (2251 bytes)
[2026-02-20 00:04:31.391] [INFO    ] [ui.ribbon_builder   ]       Bibliotheque Outils Divers : script ecrit (v1)
[2026-02-20 00:04:31.975] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : bibliotheque.png (845 bytes)
[2026-02-20 00:04:32.050] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Console Logs Parametres
[2026-02-20 00:04:32.643] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : console.png (705 bytes)
[2026-02-20 00:04:32.663] [INFO    ] [ui.ribbon_builder   ]       Console : script ecrit (v9)
[2026-02-20 00:04:33.318] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : console_ico.png (1069 bytes)
[2026-02-20 00:04:33.329] [INFO    ] [ui.ribbon_builder   ]       Logs : script ecrit (v1)
[2026-02-20 00:04:33.995] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : logs.png (1207 bytes)
[2026-02-20 00:04:34.086] [INFO    ] [ui.ribbon_builder   ]       Parametres : script ecrit (v1)
[2026-02-20 00:04:34.661] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : parametres.png (1649 bytes)
[2026-02-20 00:04:34.741] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 10_Aide & Feedback.panel
[2026-02-20 00:04:35.554] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : aide.png (3042 bytes)
[2026-02-20 00:04:35.633] [INFO    ] [ui.ribbon_builder   ]       Aide : script ecrit (v1)
[2026-02-20 00:04:36.510] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : aide.png (1571 bytes)
[2026-02-20 00:04:36.595] [INFO    ] [ui.ribbon_builder   ]       Feedback : script ecrit (v1)
[2026-02-20 00:04:37.228] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : feedback.png (1607 bytes)
[2026-02-20 00:04:37.252] [INFO    ] [ui.ribbon_builder   ] Ruban construit : 10 panels, 67 scripts ecrits, 0 en cache, 92 icones reelles, 0 placeholders, 92 YAML
[2026-02-20 00:04:37.334] [INFO    ] [Login               ] ✅ Scripts: 67 écrits, 0 en cache | Icônes: 92
[2026-02-20 00:04:37.430] [INFO    ] [Login               ] 💾 Config sauvegardée en cache
[2026-02-20 00:04:54.950] [INFO    ] [Startup             ] ============================================================
[2026-02-20 00:04:55.075] [INFO    ] [Startup             ] 🚀 DÉMARRAGE AUTOREVIT EXTENSION v4.2
[2026-02-20 00:04:55.077] [INFO    ] [Startup             ] ============================================================
[2026-02-20 00:04:55.092] [INFO    ] [Startup             ] [1/4] Configuration chargée
[2026-02-20 00:04:55.094] [INFO    ] [Startup             ]   • Revit version: 2024
[2026-02-20 00:04:55.101] [INFO    ] [Startup             ]   • API URL: https://autorevit-production.up.railway.app/api/v1
[2026-02-20 00:04:55.103] [INFO    ] [Startup             ]   • Cache dir: C:/Users/ben-y/AppData/Roaming/pyRevit/AutoRevit/cache
[2026-02-20 00:04:55.106] [INFO    ] [Startup             ] [2/4] Vérification session...
[2026-02-20 00:04:55.264] [INFO    ] [Startup             ]   • Session trouvée: Oui
[2026-02-20 00:04:55.267] [INFO    ] [Startup             ]   • Config UI en cache: Oui
[2026-02-20 00:04:55.270] [INFO    ] [Startup             ] [3/4] Session active détectée
[2026-02-20 00:04:55.272] [INFO    ] [Startup             ]   → Tentative de téléchargement config UI...
[2026-02-20 00:05:01.351] [INFO    ] [Startup             ]   ✅ Config UI téléchargée (10 panels)
[2026-02-20 00:05:01.763] [INFO    ] [Startup             ] [4/4] Construction panels...
[2026-02-20 00:05:01.916] [INFO    ] [ui.ribbon_builder   ] RibbonBuilder v4.8 initialise - user: admin role: admin
[2026-02-20 00:05:02.015] [INFO    ] [ui.ribbon_builder   ] Construction ruban : 10 panels pour roles ['admin']
[2026-02-20 00:05:02.021] [INFO    ] [ui.ribbon_builder   ]   -> 10 panels accessibles
[2026-02-20 00:05:02.059] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 01_Projet & Initialisation.panel
[2026-02-20 00:05:20.748] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 02_Analyse & Diagnostic.panel
[2026-02-20 00:05:21.535] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 03_Charges & Combinaisons.panel
[2026-02-20 00:05:21.695] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 04_Structure Principale.panel
[2026-02-20 00:05:22.065] [WARN    ] [ui.ribbon_builder   ]     Stack 'Poteaux Poutres Voiles Dalles' a 4 items -> division automatique en stacks de 3
[2026-02-20 00:05:22.285] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Poteaux Poutres Voiles Dalles 1 (3/4 items)
[2026-02-20 00:05:22.811] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Poteaux Poutres Voiles Dalles 2 (1/4 items)
[2026-02-20 00:05:23.005] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 05_Elements Secondaires & Details.panel
[2026-02-20 00:05:23.120] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 06_Verification & Qualite.panel
[2026-02-20 00:05:23.149] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 07_Ferraillage & Coffrage.panel
[2026-02-20 00:05:23.268] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 08_Documentation & Export.panel
[2026-02-20 00:05:23.289] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 09_Outils Avances & Admin.panel
[2026-02-20 00:05:23.403] [INFO    ] [ui.ribbon_builder   ]   Panel existant : 10_Aide & Feedback.panel
